frame,timestamp,seconds,source_video_frame,file
146,04:44.07,284.07,8522,frame-146_04m44.07s.jpg
147,04:46.33,286.33,8590,frame-147_04m46.33s.jpg
148,04:47.90,287.90,8637,frame-148_04m47.90s.jpg
149,04:48.87,288.87,8666,frame-149_04m48.87s.jpg
150,04:52.50,292.50,8775,frame-150_04m52.50s.jpg
151,04:56.03,296.03,8881,frame-151_04m56.03s.jpg
152,04:59.63,299.63,8989,frame-152_04m59.63s.jpg
153,05:05.50,305.50,9165,frame-153_05m05.50s.jpg
154,05:08.80,308.80,9264,frame-154_05m08.80s.jpg
155,05:12.57,312.57,9377,frame-155_05m12.57s.jpg
156,05:14.27,314.27,9428,frame-156_05m14.27s.jpg
157,05:17.50,317.50,9525,frame-157_05m17.50s.jpg
158,05:19.53,319.53,9586,frame-158_05m19.53s.jpg
159,05:20.63,320.63,9619,frame-159_05m20.63s.jpg
160,05:22.47,322.47,9674,frame-160_05m22.47s.jpg
161,05:23.57,323.57,9707,frame-161_05m23.57s.jpg
162,05:24.97,324.97,9749,frame-162_05m24.97s.jpg
163,05:26.63,326.63,9799,frame-163_05m26.63s.jpg
164,05:31.37,331.37,9941,frame-164_05m31.37s.jpg
165,05:34.33,334.33,10030,frame-165_05m34.33s.jpg
166,05:35.43,335.43,10063,frame-166_05m35.43s.jpg
167,05:38.53,338.53,10156,frame-167_05m38.53s.jpg
168,05:40.27,340.27,10208,frame-168_05m40.27s.jpg
169,05:42.33,342.33,10270,frame-169_05m42.33s.jpg
170,05:46.13,346.13,10384,frame-170_05m46.13s.jpg
171,05:48.60,348.60,10458,frame-171_05m48.60s.jpg
172,05:52.03,352.03,10561,frame-172_05m52.03s.jpg
173,05:53.10,353.10,10593,frame-173_05m53.10s.jpg
174,05:54.13,354.13,10624,frame-174_05m54.13s.jpg
175,05:55.80,355.80,10674,frame-175_05m55.80s.jpg
176,05:57.53,357.53,10726,frame-176_05m57.53s.jpg
177,05:59.23,359.23,10777,frame-177_05m59.23s.jpg
178,06:02.53,362.53,10876,frame-178_06m02.53s.jpg
179,06:04.73,364.73,10942,frame-179_06m04.73s.jpg
180,06:06.50,366.50,10995,frame-180_06m06.50s.jpg
181,06:08.63,368.63,11059,frame-181_06m08.63s.jpg
