date,video_id,title,published_at,age_days,duration_seconds,duration_raw,data_views,data_likes,data_dislikes,data_comments,privacy,ana_views,ana_likes,ana_dislikes,ana_comments,ana_shares,ana_avg_duration,ana_avg_view_pct,src_subscribers,src_related,src_channel,src_search,src_other_page,src_external,src_unknown,src_playlist
2026-08-06,ehNSMUj_q2E,Why Your Life Feels Faster When Every Day Looks The Same?,2026-08-04T15:00:24Z,1,796,PT13M16S,19,2,,1,public,2,0,0,0,0,375,47.18,0,0,2,0,0,0,0,0
2026-08-06,vadig-z5Nq8,Why You Become a Different Person in Every Friend Group?,2026-08-01T12:34:27Z,4,728,PT12M8S,18,1,,0,public,18,2,0,0,1,184,25.41,2,7,5,2,0,0,2,0
2026-08-06,whzx5ueD1-U,Why You Keep Winning Arguments That Already Ended,2026-07-30T16:52:01Z,6,727,PT12M7S,61,2,,1,public,59,2,1,1,0,124,17.19,9,37,9,0,1,0,2,1
2026-08-06,eEHX1hIfJ58,Why You Feel Lonelier In A Crowd Than Alone In Your Room?,2026-07-27T17:44:03Z,9,692,PT11M32S,70,4,,2,public,65,4,0,2,1,144,20.94,23,19,11,1,4,3,1,0
