frame,timestamp,seconds,source_video_frame,file
236,07:02.20,422.20,12666,frame-236_07m02.20s.jpg
237,07:04.63,424.63,12739,frame-237_07m04.63s.jpg
238,07:07.40,427.40,12822,frame-238_07m07.40s.jpg
239,07:09.77,429.77,12893,frame-239_07m09.77s.jpg
240,07:11.90,431.90,12957,frame-240_07m11.90s.jpg
241,07:13.97,433.97,13019,frame-241_07m13.97s.jpg
242,07:18.20,438.20,13146,frame-242_07m18.20s.jpg
243,07:19.53,439.53,13186,frame-243_07m19.53s.jpg
244,07:20.33,440.33,13210,frame-244_07m20.33s.jpg
245,07:22.37,442.37,13271,frame-245_07m22.37s.jpg
246,07:24.17,444.17,13325,frame-246_07m24.17s.jpg
247,07:24.83,444.83,13345,frame-247_07m24.83s.jpg
248,07:26.27,446.27,13388,frame-248_07m26.27s.jpg
249,07:27.43,447.43,13423,frame-249_07m27.43s.jpg
250,07:30.17,450.17,13505,frame-250_07m30.17s.jpg
251,07:33.83,453.83,13615,frame-251_07m33.83s.jpg
252,07:37.10,457.10,13713,frame-252_07m37.10s.jpg
253,07:38.33,458.33,13750,frame-253_07m38.33s.jpg
254,07:40.03,460.03,13801,frame-254_07m40.03s.jpg
255,07:44.23,464.23,13927,frame-255_07m44.23s.jpg
256,07:46.43,466.43,13993,frame-256_07m46.43s.jpg
257,07:48.03,468.03,14041,frame-257_07m48.03s.jpg
258,07:50.63,470.63,14119,frame-258_07m50.63s.jpg
259,07:53.80,473.80,14214,frame-259_07m53.80s.jpg
260,07:57.13,477.13,14314,frame-260_07m57.13s.jpg
261,08:00.57,480.57,14417,frame-261_08m00.57s.jpg
262,08:02.73,482.73,14482,frame-262_08m02.73s.jpg
263,08:04.47,484.47,14534,frame-263_08m04.47s.jpg
264,08:06.83,486.83,14605,frame-264_08m06.83s.jpg
265,08:11.63,491.63,14749,frame-265_08m11.63s.jpg
266,08:13.73,493.73,14812,frame-266_08m13.73s.jpg
267,08:14.70,494.70,14841,frame-267_08m14.70s.jpg
268,08:15.47,495.47,14864,frame-268_08m15.47s.jpg
269,08:16.13,496.13,14884,frame-269_08m16.13s.jpg
270,08:17.37,497.37,14921,frame-270_08m17.37s.jpg
271,08:19.37,499.37,14981,frame-271_08m19.37s.jpg
272,08:20.17,500.17,15005,frame-272_08m20.17s.jpg
